Tipo Doc.;N.º Doc.;Refª Cliente;Data;Cliente;Contribuinte;País;Zona geográfica;Vendedor;Método de Pagamento;Valor Pgto.;Comissão Pgto.;Cód. Artigo;Código EAN;Artigos;Qtd.;Uni.;Preço unitário sem IVA;Total Artigo;Total Ilíq.;Desc.;Total Liq.;Impostos;Desc. Financeiro;Total;Acumulado;Local de Descarga;Observações
Fatura-Recibo;2024CY/16;;03/06/2024;TSOLOUFIS ATHANASIOS;CY999999990;França;;;;;;WHT005184;;2.0 TFSI EA113 High Pressure Fuel Pump O-Ring and Bolts;1;Uni.;8,39496;8,39;8,39;0;8,39;1,6;0;9,99;37,95;;
Fatura-Recibo;2024CY/16;;03/06/2024;TSOLOUFIS ATHANASIOS;CY999999990;França;;;;;;AC-200K03-MD;;A3 8P / Golf 5 GTI / TT 8J / Scirocco 2.0 TFSI K03 Alpha Competition Turbo Muffler Delete;1;Uni.;68,05882;68,06;68,06;0;68,06;12,93;0;80,99;118,94;;
Fatura-Recibo;2024CY/16;;03/06/2024;TSOLOUFIS ATHANASIOS;CY999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;31,0084;31,01;31,01;0;31,01;5,89;0;36,9;155,84;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024CY/17;;03/06/2024;Power Dynamic Performance LTD;CY10257164V;Chipre;;;Card;310,99;---;;;;;;;;310,99;0;310,99;0;0;310,99;1326,09;2a Demetriou Fani Larnaca;
Fatura-Recibo;2024CY/17;;03/06/2024;Power Dynamic Performance LTD;CY10257164V;Chipre;;;;;;KL091672R;;Subaru Impreza WRX / STI 01-07 Koyorad Performance Aluminium Radiator;1;Uni.;224,99;224,99;224,99;0;224,99;0;0;224,99;224,99;;
Fatura-Recibo;2024CY/17;;03/06/2024;Power Dynamic Performance LTD;CY10257164V;Chipre;;;;;;Portes;;Custo de Portes;1;Uni.;86;86;86;0;86;0;0;86;310,99;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024IE/19;;03/06/2024;Unitherm Heating systems;IE6412845H;Irlanda;;;Card;1612,43;---;;;;;;;;1612,43;0;1612,43;0;0;1612,43;2938,52;Unit 30, Glenrock Business Park Bothair na mine;
Fatura-Recibo;2024IE/19;;03/06/2024;Unitherm Heating systems;IE6412845H;Irlanda;;;;;;ILZKAR8H8S-4;;NGK Spark Plugs ILZKAR8H8S for Honda Civic Type R FK2 / FK8 / FL5;1;Uni.;66,67;66,67;66,67;0;66,67;0;0;66,67;66,67;;
